ID	BA_LONG_NAME	BA_TYPE	AREA_ID	AREA_TYPE	FIELD_NAME	WELL_NAME	UWI	TITLE	CREATOR_NAME	CREATE_DATE	MEDIA_TYPE	DOCUMENT_TYPE	ITEM_CATEGORY	ITEM_SUB_CATEGORY	PAGE_COUNT	REMARK	DATA_STORE_NAME	DATA_STORE_TYPE	SOURCE	QC_STATUS	CHECKED_BY_BA_ID
11	PT Example	BADAN USAHA	429	WILAYAH KERJA	Rokan	BN-5	-	Fluid Flow Analysis in Petroleum Systems	PT Oil	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	LAPORAN LAINYA	LAPORAN LAINYA	84.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	SHELF	-	TERVERIFIKASI	2340
12	PT Gas	BADAN USAHA	2520	WILAYAH KERJA	Duri	BN-6	-	Production Optimization Strategies	PT Gas	2024-03-08 00:00:00	FILM	LAPORAN TEKNIK	ASPEK KEGEOLOGIAN	LAPORAN/INTERPRETASI GEOLOGI	38.00000	-	-	BOX	-	TERVERIFIKASI	7679
13	PT Gas	UNIT PELAKSANA	3752	WILAYAH KERJA	Sampang	BN-1	-	Well Testing and Analysis	PT Gas	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	LAPORAN LAINYA	LAPORAN LAINYA	89.00000	-	-	BOX	-	TERVERIFIKASI	6228
14	PT Oil	UNIT PELAKSANA	4898	WILAYAH KERJA	Arun	BN-2	-	Reservoir Characterization and Modeling	PT Oil	2024-03-08 00:00:00	KERTAS	KEUANGAN	EKSPLORASI & AKUISISI	TIME TO DEPTH RELATION REPORT/VSP	42.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	7696
15	PT Gas	BADAN USAHA	1485	WILAYAH KERJA	Jambi-Merang	BN-3	-	Enhanced Oil Recovery (EOR) Techniques	PT Oil	2024-03-08 00:00:00	KERTAS	LAPORAN SUMUR	KERJA ULANG	STIMULASI SUMUR	38.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	7773
16	Example Co.	BENTUK USAHA TETAP	4771	WILAYAH KERJA	Minas	BN-6	-	Enhanced Oil Recovery (EOR) Techniques	PT Oil	2024-03-08 00:00:00	FILM	LAPORAN TEKNIK	ANALISA FORMASI	MASTER LOG	38.00000	-	-	RACK	-	TERVERIFIKASI	5943
17	Example Co.	UNIT PELAKSANA	3855	WILAYAH KERJA	Duri	BN-4	-	Well Testing and Analysis	Example Co.	2024-03-08 00:00:00	KERTAS	LAPORAN SUMUR	ASPEK KEGEOLOGIAN	ROUTINE CORE ANALYSIS	79.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	4988
18	PT Oil	UNIT PELAKSANA	1598	WILAYAH KERJA	Arun	BN-8	-	Production Optimization Strategies	PT Oil	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN TEKNIK	PRODUKSI	FASILITAS PRODUKSI	43.00000	-	-	SHELF	-	TERVERIFIKASI	6237
19	Example Co.	BENTUK USAHA TETAP	570	WILAYAH KERJA	Arun	BN-8	-	Reservoir Characterization and Modeling	PT Oil	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SEISMIK	LAPORAN LAINYA	LAPORAN LAINYA	58.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	SHELF	-	TERVERIFIKASI	9189
20	PT Fake	UNIT PELAKSANA	1473	WILAYAH KERJA	Duri	BN-3	-	Reservoir Management and Field Development Plans	PT Example	2024-03-08 00:00:00	KERTAS	KEUANGAN	KERJA ULANG	WORK OVER & WELL SERVICE	51.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	7953
21	Example Co.	BADAN USAHA	3675	WILAYAH KERJA	Rokan	BN-1	-	Reservoir Management and Field Development Plans	PT Fake	2024-03-08 00:00:00	FILM	LAPORAN TEKNIK	LAPORAN LAINYA	LAPORAN LAINYA	86.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	5549
22	PT Fake	BADAN USAHA	528	WILAYAH KERJA	Sampang	BN-1	-	Fluid Flow Analysis in Petroleum Systems	PT Gas	2024-03-08 00:00:00	FILM	LAPORAN SUMUR	PRODUKSI	LAPORAN PRODUKSI	97.00000	-	-	SHELF	-	TERVERIFIKASI	5760
23	PT Example	UNIVERSITAS	106	WILAYAH KERJA	Duri	BN-5	-	Well Testing and Analysis	Example Co.	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	LAPORAN LAINYA	LAPORAN LAINYA	84.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	2914
24	PT Example	BADAN USAHA	2693	WILAYAH KERJA	Arun	BN-6	-	Reservoir Simulation and Forecasting	PT Gas	2024-03-08 00:00:00	KERTAS	LAPORAN SUMUR	KERJA ULANG	STIMULASI SUMUR	88.00000	-	-	RACK	-	TERVERIFIKASI	3184
25	PT Example	BADAN USAHA	1702	WILAYAH KERJA	Rokan	BN-5	-	Petroleum Geology and Exploration Methods	Example Co.	2024-03-08 00:00:00	FILM	LAPORAN SUMUR	PRODUKSI	LAPORAN PRODUKSI	31.00000	-	-	SHELF	-	TERVERIFIKASI	3312
26	Example Co.	BADAN USAHA	4573	WILAYAH KERJA	Attaka	BN-2	-	Formation Evaluation and Petrophysical Analysis	PT Example	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN TEKNIK	ASPEK KEGEOLOGIAN	CORE PHOTOGRAPHY	70.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	3004
27	PT Fake	UNIT PELAKSANA	2666	WILAYAH KERJA	Sampang	BN-6	-	Formation Evaluation and Petrophysical Analysis	PT Gas	2024-03-08 00:00:00	KERTAS	KEUANGAN	PENGUJIAN SUMUR	LAPORAN/ANALISA PERCONTOH	46.00000	-	-	RACK	-	TERVERIFIKASI	7452
28	Example Co.	BADAN USAHA	3913	WILAYAH KERJA	Cepu	BN-8	-	Reservoir Simulation and Forecasting	PT Gas	2024-03-08 00:00:00	KERTAS	LAPORAN SUMUR	ASPEK KEGEOLOGIAN	LAPORAN/INTERPRETASI GEOLOGI	31.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	SHELF	-	TERVERIFIKASI	4928
29	PT Example	BADAN USAHA	3383	WILAYAH KERJA	Mahakam	BN-5	-	Petroleum Geology and Exploration Methods	PT Example	2024-03-08 00:00:00	KERTAS	LAPORAN SUMUR	LAPORAN AKHIR	LAPORAN AKHIR SUMUR	67.00000	-	-	BOX	-	TERVERIFIKASI	3749
30	PT Oil	BENTUK USAHA TETAP	3331	WILAYAH KERJA	Rokan	BN-4	-	Reservoir Characterization and Modeling	PT Oil	2024-03-08 00:00:00	KERTAS	LAPORAN TEKNIK	LAPORAN LAINYA	LAPORAN LAINYA	57.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	9224
31	PT Fake	BADAN USAHA	1345	WILAYAH KERJA	Minas	BN-3	-	Fluid Flow Analysis in Petroleum Systems	PT Oil	2024-03-08 00:00:00	KERTAS	LAPORAN SEISMIK	ANALISA FORMASI	EVALUASI FORMASI	43.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	4034
32	Example Co.	BENTUK USAHA TETAP	590	WILAYAH KERJA	Arun	BN-4	-	Fluid Flow Analysis in Petroleum Systems	PT Example	2024-03-08 00:00:00	KERTAS	KEUANGAN	PENGUJIAN SUMUR	ANALISA FLUIDA	55.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	8770
33	PT Gas	UNIVERSITAS	1818	WILAYAH KERJA	Arun	BN-7	-	Reservoir Simulation and Forecasting	Example Co.	2024-03-08 00:00:00	FILM	KEUANGAN	PENGEBORAN	DAILY GEOLOGICAL REPORT	73.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	4907
34	PT Oil	BADAN USAHA	4065	WILAYAH KERJA	Jambi-Merang	BN-3	-	Well Testing and Analysis	PT Gas	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	EKSPLORASI & AKUISISI	DATA EKSPLORASI	78.00000	-	-	SHELF	-	TERVERIFIKASI	7472
35	Example Co.	BENTUK USAHA TETAP	4319	WILAYAH KERJA	Mahakam	BN-1	-	Fluid Flow Analysis in Petroleum Systems	PT Oil	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	PERSIAPAN PEMBORAN	PERSIAPAN PONDASI LOKASI SUMUR	47.00000	-	-	SHELF	-	TERVERIFIKASI	2053
36	PT Fake	UNIVERSITAS	3948	WILAYAH KERJA	Minas	BN-2	-	Enhanced Oil Recovery (EOR) Techniques	PT Fake	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	PENGUJIAN SUMUR	LAPORAN/ANALISA PERCONTOH	47.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	8864
37	Example Co.	UNIVERSITAS	2702	WILAYAH KERJA	Jambi-Merang	BN-1	-	Formation Evaluation and Petrophysical Analysis	PT Example	2024-03-08 00:00:00	FILM	LAPORAN SUMUR	LAPORAN LAINYA	LAPORAN LAINYA	53.00000	-	-	ENVELOPE	-	TERVERIFIKASI	9495
38	PT Oil	BADAN USAHA	1817	WILAYAH KERJA	Tuban	BN-5	-	Formation Evaluation and Petrophysical Analysis	PT Fake	2024-03-08 00:00:00	KERTAS	KEUANGAN	LAPORAN AKHIR	DATA & RIWAYAT SUMUR	75.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	SHELF	-	TERVERIFIKASI	8950
39	PT Oil	BENTUK USAHA TETAP	1697	WILAYAH KERJA	Attaka	BN-8	-	Production Optimization Strategies	PT Example	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SUMUR	EKSPLORASI & AKUISISI	TIME TO DEPTH RELATION REPORT/VSP	25.00000	-	-	BOX	-	TERVERIFIKASI	6473
40	PT Example	BENTUK USAHA TETAP	3229	WILAYAH KERJA	Duri	BN-5	-	Fluid Flow Analysis in Petroleum Systems	PT Example	2024-03-08 00:00:00	FILM	LAPORAN TEKNIK	KERJA ULANG	WORK OVER & WELL SERVICE	98.00000	-	-	ENVELOPE	-	TERVERIFIKASI	3484
41	PT Oil	UNIT PELAKSANA	3086	WILAYAH KERJA	Duri	BN-5	-	Drilling and Completion Practices in Oil and Gas Wells	Example Co.	2024-03-08 00:00:00	TRANSLUCENT	KEUANGAN	LAPORAN LAINYA	LAPORAN LAINYA	25.00000	-	-	BOX	-	TERVERIFIKASI	4486
42	PT Gas	BADAN USAHA	2115	WILAYAH KERJA	Tuban	BN-2	-	Drilling and Completion Practices in Oil and Gas Wells	Example Co.	2024-03-08 00:00:00	KERTAS	LAPORAN SUMUR	ANALISA FORMASI	MASTER LOG	58.00000	-	-	RACK	-	TERVERIFIKASI	1502
43	PT Example	BENTUK USAHA TETAP	4482	WILAYAH KERJA	Duri	BN-2	-	Fluid Flow Analysis in Petroleum Systems	PT Example	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SUMUR	PRODUKSI	INJEKSI	58.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	9121
44	PT Fake	BADAN USAHA	3534	WILAYAH KERJA	Tuban	BN-7	-	Reservoir Management and Field Development Plans	PT Example	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SEISMIK	ASPEK KEGEOLOGIAN	SPECIAL CORE ANALYSIS	43.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	SHELF	-	TERVERIFIKASI	3896
45	PT Fake	UNIVERSITAS	4720	WILAYAH KERJA	Tuban	BN-6	-	Well Testing and Analysis	PT Oil	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SUMUR	LAPORAN LAINYA	LAPORAN LAINYA	37.00000	-	-	ENVELOPE	-	TERVERIFIKASI	7640
46	PT Gas	BADAN USAHA	1103	WILAYAH KERJA	Sampang	BN-4	-	Reservoir Characterization and Modeling	Example Co.	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN TEKNIK	ASPEK KEGEOLOGIAN	CORE PHOTOGRAPHY	81.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	2877
47	PT Oil	BENTUK USAHA TETAP	1099	WILAYAH KERJA	Minas	BN-1	-	Reservoir Management and Field Development Plans	PT Gas	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SEISMIK	PENGUJIAN SUMUR	LAPORAN/ANALISA RESERVOIR	31.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	9821
48	PT Example	UNIT PELAKSANA	4108	WILAYAH KERJA	Arun	BN-1	-	Enhanced Oil Recovery (EOR) Techniques	PT Example	2024-03-08 00:00:00	KERTAS	LAPORAN TEKNIK	LAPORAN LAINYA	LAPORAN LAINYA	48.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	1745
49	PT Example	BADAN USAHA	3468	WILAYAH KERJA	Attaka	BN-3	-	Petroleum Geology and Exploration Methods	PT Example	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	PENGEBORAN	BIT RECORD	71.00000	-	-	RACK	-	TERVERIFIKASI	7152
50	Example Co.	BENTUK USAHA TETAP	209	WILAYAH KERJA	Mahakam	BN-1	-	Formation Evaluation and Petrophysical Analysis	PT Oil	2024-03-08 00:00:00	KERTAS	LAPORAN TEKNIK	PENGUJIAN SUMUR	ANALISA FLUIDA	58.00000	-	-	SHELF	-	TERVERIFIKASI	2190
51	PT Fake	UNIT PELAKSANA	697	WILAYAH KERJA	Tuban	BN-8	-	Reservoir Characterization and Modeling	PT Gas	2024-03-08 00:00:00	FILM	KEUANGAN	EKSPLORASI & AKUISISI	TIME TO DEPTH RELATION REPORT/VSP	67.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	7900
52	PT Oil	BADAN USAHA	2326	WILAYAH KERJA	Attaka	BN-3	-	Drilling and Completion Practices in Oil and Gas Wells	PT Fake	2024-03-08 00:00:00	KERTAS	LAPORAN TEKNIK	PERSIAPAN PEMBORAN	PERSIAPAN PONDASI LOKASI SUMUR	42.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	6610
53	PT Example	BENTUK USAHA TETAP	4491	WILAYAH KERJA	Duri	BN-3	-	Reservoir Characterization and Modeling	PT Example	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SUMUR	EKSPLORASI & AKUISISI	DATA EKSPLORASI	80.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	9506
54	PT Example	UNIVERSITAS	467	WILAYAH KERJA	Tuban	BN-3	-	Well Testing and Analysis	PT Example	2024-03-08 00:00:00	KERTAS	LAPORAN SEISMIK	PENGEBORAN	DAILY OPERATIONAL REPORT	53.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	2064
55	PT Oil	UNIVERSITAS	2243	WILAYAH KERJA	Duri	BN-2	-	Petroleum Geology and Exploration Methods	Example Co.	2024-03-08 00:00:00	KERTAS	LAPORAN SEISMIK	PENGEBORAN	FORMATION INTEGRITY TEST (FIT)	99.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	8754
56	PT Example	UNIT PELAKSANA	2581	WILAYAH KERJA	Duri	BN-7	-	Reservoir Management and Field Development Plans	PT Gas	2024-03-08 00:00:00	KERTAS	LAPORAN SEISMIK	KERJA ULANG	REPARASI SUMUR	85.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	7834
57	Example Co.	BENTUK USAHA TETAP	142	WILAYAH KERJA	Rokan	BN-2	-	Reservoir Simulation and Forecasting	PT Oil	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	HSSE	OPERATIONAL INCIDENT REPORT	64.00000	-	-	RACK	-	TERVERIFIKASI	5702
58	PT Fake	BADAN USAHA	3369	WILAYAH KERJA	Arun	BN-7	-	Petroleum Geology and Exploration Methods	PT Oil	2024-03-08 00:00:00	FILM	LAPORAN SUMUR	PENGEBORAN	DAILY GEOLOGICAL REPORT	54.00000	-	-	RACK	-	TERVERIFIKASI	6209
59	PT Example	BENTUK USAHA TETAP	4965	WILAYAH KERJA	Jambi-Merang	BN-2	-	Petroleum Geology and Exploration Methods	Example Co.	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SUMUR	ASPEK KEGEOLOGIAN	LAPORAN/INTERPRETASI GEOLOGI	86.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	5535
60	PT Example	BENTUK USAHA TETAP	510	WILAYAH KERJA	Attaka	BN-4	-	Reservoir Management and Field Development Plans	PT Oil	2024-03-08 00:00:00	KERTAS	LAPORAN SEISMIK	EKSPLORASI & AKUISISI	DATA EKSPLORASI	34.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	1871
61	Example Co.	BADAN USAHA	2189	WILAYAH KERJA	Arun	BN-6	-	Drilling and Completion Practices in Oil and Gas Wells	PT Oil	2024-03-08 00:00:00	KERTAS	LAPORAN TEKNIK	PRODUKSI	LAPORAN PRODUKSI	27.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	5057
62	PT Example	UNIT PELAKSANA	1921	WILAYAH KERJA	Sampang	BN-7	-	Petroleum Geology and Exploration Methods	Example Co.	2024-03-08 00:00:00	FILM	LAPORAN SUMUR	HSSE	HEALTH, SAFETY, ENVIRONMENT	30.00000	-	-	SHELF	-	TERVERIFIKASI	6001
63	PT Example	UNIVERSITAS	3472	WILAYAH KERJA	Rokan	BN-7	-	Well Testing and Analysis	PT Gas	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SUMUR	LAPORAN LAINYA	LAPORAN LAINYA	28.00000	-	-	BOX	-	TERVERIFIKASI	3043
64	Example Co.	UNIT PELAKSANA	564	WILAYAH KERJA	Rokan	BN-6	-	Reservoir Simulation and Forecasting	PT Gas	2024-03-08 00:00:00	FILM	LAPORAN SUMUR	PERSIAPAN PEMBORAN	PERSIAPAN PONDASI LOKASI SUMUR	58.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	SHELF	-	TERVERIFIKASI	3586
65	PT Gas	UNIT PELAKSANA	3733	WILAYAH KERJA	Sampang	BN-5	-	Fluid Flow Analysis in Petroleum Systems	PT Example	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SUMUR	PENGEBORAN	LAPORAN PENGEBORAN	72.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	SHELF	-	TERVERIFIKASI	8112
66	PT Example	UNIVERSITAS	2687	WILAYAH KERJA	Arun	BN-3	-	Fluid Flow Analysis in Petroleum Systems	Example Co.	2024-03-08 00:00:00	KERTAS	LAPORAN TEKNIK	KERJA ULANG	WORK OVER & WELL SERVICE	73.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	6716
67	PT Gas	BADAN USAHA	1644	WILAYAH KERJA	Tuban	BN-1	-	Drilling and Completion Practices in Oil and Gas Wells	PT Fake	2024-03-08 00:00:00	KERTAS	KEUANGAN	PRODUKSI	FASILITAS PRODUKSI	40.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	7757
68	PT Gas	UNIT PELAKSANA	3024	WILAYAH KERJA	Tuban	BN-7	-	Reservoir Simulation and Forecasting	PT Oil	2024-03-08 00:00:00	FILM	LAPORAN TEKNIK	LAPORAN AKHIR	ABANDONED AND PLUG	50.00000	-	-	SHELF	-	TERVERIFIKASI	4469
69	PT Gas	UNIT PELAKSANA	4976	WILAYAH KERJA	Mahakam	BN-2	-	Reservoir Characterization and Modeling	Example Co.	2024-03-08 00:00:00	KERTAS	LAPORAN SUMUR	PERSIAPAN PEMBORAN	PLAN OF FURTHER DEVELOPMENT/POFD	28.00000	-	-	ENVELOPE	-	TERVERIFIKASI	7726
70	PT Gas	UNIVERSITAS	1774	WILAYAH KERJA	Mahakam	BN-7	-	Formation Evaluation and Petrophysical Analysis	PT Example	2024-03-08 00:00:00	KERTAS	KEUANGAN	PERSIAPAN PEMBORAN	PEMBEBASAN LAHAN	68.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	4216
71	PT Gas	BADAN USAHA	4676	WILAYAH KERJA	Mahakam	BN-5	-	Reservoir Simulation and Forecasting	Example Co.	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	PRODUKSI	LAPORAN PRODUKSI	99.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	SHELF	-	TERVERIFIKASI	9511
